"Species","Ind","Site","Area","Diam","source","Sex_sys"
"Ambrosia artemisiifolia","1","LP",269.368,18.5194489574129,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","LP",273.02,18.6445665142313,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","LP",243.517,17.6083921530409,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","LP",254.281,17.9933494568077,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","LP",248.034,17.7709509379448,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","LP",276.288,18.7558206254962,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","LP",269.176,18.5128476386976,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","LP",263.506,18.3168299515769,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","LP",257.644,18.1119443810913,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","LP",245.343,17.6742866793531,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","LP",260.431,18.2096416185197,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","LP",262.641,18.2867412971472,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","LP",271.963,18.60844019,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","LP",287.82,19.1432443897495,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","LP",269.753,18.532678891918,"CS2021","monoecious"
"Ambrosia artemisiifolia","1","LP",288.108,19.1528196032479,"CS2021","monoecious"
"Ambrosia artemisiifolia","10","LP",298.391,19.4916192501565,"CS2021","monoecious"
"Ambrosia artemisiifolia","10","LP",270.233,18.5491601398127,"CS2021","monoecious"
"Ambrosia artemisiifolia","10","LP",291.567,19.2674501255303,"CS2021","monoecious"
"Ambrosia artemisiifolia","10","LP",314.92,20.0242002943438,"CS2021","monoecious"
"Ambrosia artemisiifolia","10","LP",322.8,20.2731774776553,"CS2021","monoecious"
"Ambrosia artemisiifolia","10","LP",283.687,19.005302068825,"CS2021","monoecious"
"Ambrosia artemisiifolia","10","LP",270.137,18.5458650619518,"CS2021","monoecious"
"Ambrosia artemisiifolia","10","LP",254.377,17.9967456966835,"CS2021","monoecious"
"Ambrosia artemisiifolia","10","LP",273.405,18.6577077297378,"CS2021","monoecious"
"Ambrosia artemisiifolia","10","LP",262.065,18.2666778942155,"CS2021","monoecious"
"Ambrosia artemisiifolia","10","LP",257.644,18.1119443810913,"CS2021","monoecious"
"Ambrosia artemisiifolia","10","LP",283.591,19.0020860889269,"CS2021","monoecious"
"Ambrosia artemisiifolia","10","LP",266.197,18.4101207787963,"CS2021","monoecious"
"Ambrosia artemisiifolia","10","LP",265.62,18.3901573639965,"CS2021","monoecious"
"Ambrosia artemisiifolia","10","LP",307.616,19.7906254523007,"CS2021","monoecious"
"Ambrosia artemisiifolia","10","LP",316.842,20.0852125662881,"CS2021","monoecious"
"Ambrosia artemisiifolia","10","LP",288.492,19.1655791130802,"CS2021","monoecious"
"Ambrosia artemisiifolia","10","LP",283.783,19.0085175046235,"CS2021","monoecious"
"Ambrosia artemisiifolia","10","LP",305.31,19.7163070934466,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","LP",262.065,18.2666778942155,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","LP",242.556,17.5736134876349,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","LP",299.544,19.529241311125,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","LP",284.84,19.0438848957445,"CS2021","monoecious"
