"Species","Date","Site","Plant","Flower","Flw_pollen","Stigmas_per_flw","Flower_height","Infl_max","Infl_min","D1","D2","D3","D4","D5","Stigma_length","source"
"Amaranthus retroflexus","2021-08-16","FBF","S8","C",4,3,29,NA,NA,33,79,52,74,87,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S9","A",8,3,52,NA,NA,51,57,30,57,41,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S9","B",4,4,36,NA,NA,51,57,30,57,41,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S9","C",7,3,22,NA,NA,51,57,30,57,41,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S10","A",24,3,61,NA,NA,28,32,62,40,44,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S10","B",50,3,49,NA,NA,28,32,62,40,44,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S10","C",20,3,28,NA,NA,28,32,62,40,44,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S11","A",16,3,66,NA,NA,55,39,28,37,51,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S11","B",41,3,32,NA,NA,55,39,28,37,51,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S11","C",24,3,14,NA,NA,55,39,28,37,51,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S12","A",4,3,25,NA,NA,38,51,52,59,50,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S12","B",40,3,21,NA,NA,38,51,52,59,50,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S13","A",86,3,58,NA,NA,24,19,14,12,16,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S13","B",18,3,47,NA,NA,24,19,14,12,16,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S13","C",21,3,37,NA,NA,24,19,14,12,16,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S14","A",20,3,57,NA,NA,30,23,24,15,28,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S14","B",17,3,43,NA,NA,30,23,24,15,28,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S14","C",40,3,33,NA,NA,30,23,24,15,28,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S15","A",24,3,51,NA,NA,41,30,20,33,26,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S15","B",7,3,41,NA,NA,41,30,20,33,26,NA,"CS2021"
"Amaranthus retroflexus","2021-08-16","FBF","S15","C",35,3,35,NA,NA,41,30,20,33,26,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S1","A",6,3,74,NA,NA,47,169,114,170,120,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S1","B",1,3,65,NA,NA,47,169,114,170,120,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S1","C",47,3,56,NA,NA,47,169,114,170,120,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S2","A",9,3,105,NA,NA,48,135,122,158,104,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S2","B",7,3,78,NA,NA,48,135,122,158,104,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S2","C",5,3,61,NA,NA,48,135,122,158,104,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S3","A",20,3,60,NA,NA,70,120,142,135,174,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S3","B",45,3,44,NA,NA,70,120,142,135,174,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S3","C",66,3,34,NA,NA,70,120,142,135,174,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S4","A",2,3,76,NA,NA,72,87,107,162,181,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S4","B",3,3,52,NA,NA,72,87,107,162,181,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S5","A",5,3,65,NA,NA,23,85,33,81,69,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S5","B",30,3,45,NA,NA,23,85,33,81,69,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S5","C",6,3,32,NA,NA,23,85,33,81,69,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S6","A",14,3,48,NA,NA,18,18,46,86,272,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S6","B",73,4,36,NA,NA,18,18,46,86,272,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S6","C",12,3,28,NA,NA,18,18,46,86,272,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S7","A",4,3,41,NA,NA,50,74,101,88,78,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S7","B",43,3,35,NA,NA,50,74,101,88,78,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S7","C",49,3,22,NA,NA,50,74,101,88,78,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S8","A",8,3,59,NA,NA,83,232,240,260,280,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S8","B",150,3,45,NA,NA,83,232,240,260,280,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S8","C",16,3,35,NA,NA,83,232,240,260,280,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S9","A",1,3,30,NA,NA,19,33,64,99,280,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S9","B",3,3,26,NA,NA,19,33,64,99,280,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S9","C",44,3,18,NA,NA,19,33,64,99,280,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S10","A",2,3,39,NA,NA,50,30,47,60,220,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S10","B",12,3,30,NA,NA,50,30,47,60,220,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S10","C",18,3,19,NA,NA,50,30,47,60,220,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S11","A",1,3,61,NA,NA,134,180,330,310,80,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S11","B",1,3,50,NA,NA,134,180,330,310,80,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S11","C",40,3,42,NA,NA,134,180,330,310,80,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S12","A",3,3,34,NA,NA,80,240,275,185,235,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S12","B",0,3,20,NA,NA,80,240,275,185,235,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S12","C",12,3,13,NA,NA,80,240,275,185,235,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S13","A",11,3,80,NA,NA,215,122,200,233,60,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S13","B",40,3,60,NA,NA,215,122,200,233,60,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S13","C",11,3,43,NA,NA,215,122,200,233,60,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S14","A",4,3,78,NA,NA,112,97,100,242,211,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S14","B",98,3,55,NA,NA,112,97,100,242,211,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S14","C",9,3,42,NA,NA,112,97,100,242,211,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S15","A",13,3,52,NA,NA,100,101,112,207,261,NA,"CS2021"
"Amaranthus retroflexus","2021-08-14","FBF2","S15","B",25,3,40,NA,NA,100,101,112,207,261,NA,"CS2021"
