"Species","Date","Site","Label","Anther","Subsample","Tot_tube_vol_uL","Subsample_vol_uL","Pollen_sub","Observer","N_anth_tube","Anth_per_flw","polanth","count_method","source","Sex_sys"
"Plantago lanceolata","31 Jul 2021","KM","M7","1","1",500,5,129,"Claire",1,4,12900,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M7","1","2",500,5,127,"Claire",1,4,12700,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M7","1","3",500,5,116,"Claire",1,4,11600,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M7","2","4",500,5,126,"Claire",1,4,12600,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M7","2","5",500,5,126,"Claire",1,4,12600,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M7","2","6",500,5,127,"Claire",1,4,12700,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M7","3","7",500,5,113,"Claire",1,4,11300,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M7","3","8",500,5,102,"Claire",1,4,10200,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M7","3","9",500,5,104,"Claire",1,4,10400,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M12","1","1",500,5,120,"Claire",1,4,12000,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M12","1","2",500,5,112,"Claire",1,4,11200,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M12","1","3",500,5,110,"Claire",1,4,11000,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M12","2","4",500,5,122,"Claire",1,4,12200,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M12","2","5",500,5,100,"Claire",1,4,10000,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M12","2","6",500,5,103,"Claire",1,4,10300,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M12","3","7",500,5,103,"Claire",1,4,10300,"manual","CS2021","hermaphroditic"
"Plantago lanceolata","31 Jul 2021","KM","M12","3","8",500,5,106,"Claire",1,4,10600,"manual","CS2021","hermaphroditic"
