Species,Date,Site,Label,Anther,Subsample,Tube_vol_init_uL,Fuschin_vol_uL,Glycerin_tube_vol_uL,Tot_tube_vol_uL,Subsample_vol_uL,Pollen_sub,Pollen_tot,Observer,N_anth_tube,Anth_per_flw,
Plantago lanceolata,31 Jul 2021,KM,M13,1,1,,,,500,5,93,9300,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M13,1,2,,,,500,5,89,8900,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M13,1,3,,,,500,5,75,7500,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M13,2,4,,,,500,5,124,12400,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M13,2,5,,,,500,5,110,11000,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M13,2,6,,,,500,5,102,10200,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M13,3,7,,,,500,5,105,10500,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M13,3,8,,,,500,5,107,10700,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M13,3,9,,,,500,5,91,9100,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M13,4,10,,,,500,5,98,9800,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M13,4,11,,,,500,5,96,9600,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M13,4,12,,,,500,5,117,11700,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M5,1,1,,,,500,5,117,11700,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M5,1,2,,,,500,5,120,12000,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M5,1,3,,,,500,5,124,12400,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M5,2,4,,,,500,5,122,12200,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M5,2,5,,,,500,5,102,10200,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M5,2,6,,,,500,5,118,11800,Claire,1,4,
