"Species","Site","Date","Plant","Flower","Flower_extra","Stigma","Pollen","Ovule_dev","Stigmas_per_flw","FlowerID","StigCountsTF","Plantnum","Flower_height","D1","D2","D3","D4","D5","Time","Lat","Long","Observer"
"Amaranthus sp","FBF2",2021-08-14,"S12","A",1,NA,3,NA,3,"14 Aug 2021-S12-A-1",FALSE,"12",34,80,240,275,185,235,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S12","A",2,NA,3,NA,3,"14 Aug 2021-S12-A-2",FALSE,"12",34,80,240,275,185,235,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S12","A",3,NA,2,NA,3,"14 Aug 2021-S12-A-3",FALSE,"12",34,80,240,275,185,235,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S12","B",1,NA,0,1,3,"14 Aug 2021-S12-B-1",FALSE,"12",20,80,240,275,185,235,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S12","C",1,NA,12,2,3,"14 Aug 2021-S12-C-1",FALSE,"12",13,80,240,275,185,235,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S13","A",1,NA,11,NA,3,"14 Aug 2021-S13-A-1",FALSE,"13",80,215,122,200,233,60,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S13","A",2,NA,2,NA,3,"14 Aug 2021-S13-A-2",FALSE,"13",80,215,122,200,233,60,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S13","A",3,NA,9,NA,3,"14 Aug 2021-S13-A-3",FALSE,"13",80,215,122,200,233,60,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S13","B",1,NA,40,NA,3,"14 Aug 2021-S13-B-1",FALSE,"13",60,215,122,200,233,60,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S13","B",2,NA,2,NA,3,"14 Aug 2021-S13-B-2",FALSE,"13",60,215,122,200,233,60,NA,"44.336944","-76.398611","Claire"
