"Species","Date","Site","Plant","Flower","Stigma","Pollen","Obs_count","Notes","Flower_height","N_flowers","D1","D2","D3","D4","D5","Obs_field"
"Rumex acetosella",2021-06-09,"KMW","F18",2,1,0,"Jeremiah","",18,105,168,170,168,174,167,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F18",2,2,0,"Jeremiah","",18,105,168,170,168,174,167,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F18",2,3,0,"Jeremiah","",18,105,168,170,168,174,167,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F21",1,1,0,"Jeremiah","",25,125,43,180,175,170,269,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F21",1,2,0,"Jeremiah","",25,125,43,180,175,170,269,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F21",1,3,0,"Jeremiah","",25,125,43,180,175,170,269,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F21",2,1,0,"Jeremiah","",25,125,43,180,175,170,269,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F21",2,2,1,"Jeremiah","",25,125,43,180,175,170,269,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F21",2,3,0,"Jeremiah","",25,125,43,180,175,170,269,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F22",1,1,0,"Jeremiah","",20.1,55,128,134,83,127,134,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F22",1,2,0,"Jeremiah","",20.1,55,128,134,83,127,134,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F22",1,3,0,"Jeremiah","",20.1,55,128,134,83,127,134,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F22",2,1,0,"Jeremiah","",20.1,55,128,134,83,127,134,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F22",2,2,0,"Jeremiah","",20.1,55,128,134,83,127,134,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F22",2,3,0,"Jeremiah","",20.1,55,128,134,83,127,134,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F23",1,1,0,"Jeremiah","",23,600,49,51,55,54,62,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F23",1,2,1,"Jeremiah","",23,600,49,51,55,54,62,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F23",1,3,0,"Jeremiah","",23,600,49,51,55,54,62,"Isabeau"
"Rumex acetosella",2021-06-09,"KMW","F23",2,1,0,"Jeremiah","",23,600,49,51,55,54,62,"Isabeau"
